"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"ThreeCore Injections","FabeTune","/minecraft/mc-mods/threecore-injections/download/4568974","640","Jun 5, 2023","Jun 5, 2023","66.85 KB","1.16.5","Forge","Mods, Addons"
"Twilight Catalist","KIrbe_Man_U","/minecraft/mc-mods/twilight-catalist/download/4568780","537","Jun 5, 2023","Jun 5, 2023","26.77 KB","1.12.2","Forge","Mods, CraftTweaker, Adventure and RPG, Magic, MCreator"
"The Quantum Realm","Quanta_Entertainment","/minecraft/mc-mods/the-quantum-realm/download/4568741","116","Jun 5, 2023","Jun 5, 2023","523.19 KB","1.19.2","Forge","Mods, Adventure and RPG, Dimensions, Biomes, Armor, Tools, and Weapons"
"The Star Craft","wutzuket","/minecraft/mc-mods/the-star-craft/download/4582704","188","Jun 5, 2023","Jun 12, 2023","539.28 KB","1.19.2","Forge","Mods, MCreator, Magic"
"Platinum tool ore","yalos123","/minecraft/mc-mods/platium/download/4582403","57","Jun 5, 2023","Jun 12, 2023","6.23 MB","1.19.2","Forge","Mods, Armor, Tools, and Weapons"
"Obsidian Slabs","actualxtein","/minecraft/mc-mods/obsidian-slabs/download/4568696","1.4K","Jun 5, 2023","Jun 5, 2023","35.22 KB","1.12.2","Forge","Mods, MCreator, Miscellaneous, Cosmetic"
"zbCraft","Ian_zb","/minecraft/mc-mods/zbcraft/download/4640952","107","Jun 5, 2023","Jul 13, 2023","370.78 KB","1.20.1","Fabric","Mods, MCreator"
"Boss Blades","SnoweyLG","/minecraft/mc-mods/boss-blades/download/4589783","802","Jun 5, 2023","Jun 15, 2023","61.01 KB","1.19.2","Fabric","Mods, Armor, Tools, and Weapons, MCreator"
"Cult of Cats","fapdos","/minecraft/mc-mods/cult-of-cats/download/5083234","914","Jun 5, 2023","Feb 5, 2024","754.77 KB","1.20.1","Forge","Mods, Adventure and RPG, Food, Magic, Armor, Tools, and Weapons"
"Desert Mining","TrueRealCursed_Warrior","/minecraft/mc-mods/desert-mining/download/4871002","353.1K","Jun 5, 2023","Nov 15, 2023","108.23 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, Ores and Resources"
"Ioclias","xiyuoya","/minecraft/mc-mods/ioclias/download/4589859","130","Jun 5, 2023","Jun 15, 2023","99.94 KB","1.19.2","Forge","Mods, Utility & QoL, Armor, Tools, and Weapons"
"Simple Health Bar (Forge/Fabric)","Lanfix8","/minecraft/mc-mods/simple-health-bar/download/4600899","2.0K","Jun 5, 2023","Jun 21, 2023","43.83 KB","1.19.3","Fabric","Mods, Adventure and RPG, Cosmetic"
"Lazy AE2 Patch","sjcl","/minecraft/mc-mods/lazy-ae2-patch/download/4568625","14.3K","Jun 5, 2023","Jun 5, 2023","14.46 KB","1.12.2","Forge","Mods, Utility & QoL, Applied Energistics 2"
"FUZZYMOBS","FUZZY","/minecraft/mc-mods/fuzzymobs/download/4586696","2.4K","Jun 5, 2023","Jun 14, 2023","254.22 MB","1.19.2","Forge","Mods, Adventure and RPG, Structures, Mobs, Dimensions"
"No Nether Portals","notmywing","/minecraft/mc-mods/no-nether-portals/download/4569618","60.3K","Jun 5, 2023","Jun 6, 2023","5.40 KB","1.12.2","Forge","Mods, Utility & QoL"
"Armor Abilities","dsfhdshdjtsb","/minecraft/mc-mods/armor-abilities/download/4969957","9.7K","Jun 5, 2023","Dec 20, 2023","68.12 KB","1.20.3","Fabric","Mods, Armor, Tools, and Weapons, Magic"
"Plenty of Golems","alborto06","/minecraft/mc-mods/plenty-of-golems/download/4985079","60.4K","Jun 5, 2023","Dec 26, 2023","2.99 MB","1.20.1","Forge","Mods, MCreator, Mobs"
"Collective Framework: Reworked","KAMKEEL","/minecraft/mc-mods/collective-framework-reworked/download/4568360","124","Jun 5, 2023","Jun 5, 2023","199.12 KB","1.7.10","Forge","Mods, Server Utility, Cosmetic, API and Library"
"Netherverse Tracks","Zacronium","/minecraft/mc-mods/netherverse-tracks/download/4568989","86","Jun 5, 2023","Jun 5, 2023","5.01 MB","1.19.2","Forge","Mods, Miscellaneous, World Gen, MCreator"
"SMD: Armory!","Azure_Ddraig","/minecraft/mc-mods/supreme-mining-dimensions-armory/download/4919714","2.7K","Jun 5, 2023","Dec 2, 2023","143.69 KB","1.18.2","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG"
"Crafting Tweaks (Recipes ONLY)","tristarh2009","/minecraft/mc-mods/crafting-tweaks-recipes-only/download/4609935","64","Jun 5, 2023","Jun 26, 2023","8.29 KB","1.19.2","Forge","Mods, Utility & QoL, MCreator, Utility & QoL"
"KupalaOrigin","nipponpong","/minecraft/mc-mods/kupalaorigin/download/4569216","24","Jun 5, 2023","Jun 5, 2023","3.67 KB","1.19.2","Fabric","Mods, Addons, Adventure and RPG"
"Satisfactory Core","blackspider9678","/minecraft/mc-mods/satisfactory-core/download/4892902","103","Jun 5, 2023","Nov 23, 2023","292.72 KB","1.20.1","Forge","Mods, Structures, Biomes, Mobs"
"The Theory","Xegg","/minecraft/mc-mods/the-theory/download/4568014","27","Jun 5, 2023","Jun 5, 2023","100.44 KB","1.19.3","Forge","Mods, Utility & QoL"
"EmpOrigins | Volume 1","ALindd","/minecraft/mc-mods/emporigins/download/4676712","454","Jun 5, 2023","Aug 1, 2023","89.15 KB","1.18.2","Forge","Mods, Genetics, Adventure and RPG"
"CopperIO-Legacy","RileyIcee","/minecraft/mc-mods/copperio-1-12-2/download/4567921","156","Jun 5, 2023","Jun 5, 2023","270.81 KB","1.12.2","Forge","Mods, Ores and Resources, MCreator, Armor, Tools, and Weapons, Redstone, Adventure and RPG"
"Wither Staff","amazedmonster7","/minecraft/mc-mods/wither-staff/download/4567855","192","Jun 5, 2023","Jun 5, 2023","145.68 KB","1.19.2","Forge","Mods, Adventure and RPG, MCreator, Magic, Armor, Tools, and Weapons"
"EMC Interface","OfekN_","/minecraft/mc-mods/emc-interface/download/5011055","17.7K","Jun 4, 2023","Jan 6, 2024","21.58 KB","1.19.4","Forge","Mods, Storage, Addons, Magic, Utility & QoL, Automation"
"Gold","Sodz1aX","/minecraft/mc-mods/gold/download/4574280","84","Jun 4, 2023","Jun 8, 2023","272.06 KB","1.19.4","Forge","Mods, Food, MCreator, Adventure and RPG"
"Customized Tridents [FABRIC/FORGE]","Thanatoros","/minecraft/mc-mods/customized-tridents/download/5054576","1.4K","Jun 4, 2023","Jan 23, 2024","60.42 KB","1.20.4","Forge","Mods, Server Utility, Utility & QoL"
"SKDV's Playtime Limiter","SkinnyDevi","/minecraft/mc-mods/skdvs-playtime-limiter/download/4723566","528","Jun 4, 2023","Aug 26, 2023","29.84 KB","1.20.1","Forge","Mods, Server Utility, Utility & QoL"
"Resourcefull Veins","zeh_maria","/minecraft/mc-mods/resourcefull-veins/download/4638723","2.4K","Jun 4, 2023","Jul 12, 2023","195.84 KB","1.20.1","Forge","Mods, World Gen, Ores and Resources"
"ConfigAnytime","CleanroomMC","/minecraft/mc-mods/configanytime/download/5069845","305.1K","Jun 4, 2023","Jan 30, 2024","4.99 KB","1.12.2","Forge","Mods, Bug Fixes, Utility & QoL, API and Library"
"TrimsEffects","Lupin","/minecraft/mc-mods/trimseffects/download/4954165","1.5M","Jun 4, 2023","Dec 13, 2023","13.65 KB","1.20.4","Forge","Mods, Cosmetic, Adventure and RPG, Addons, Armor, Tools, and Weapons, Magic"
"Crimson's Lucky Block","crmsnsdmise","/minecraft/mc-mods/crimsons-lucky-block-mod/download/4567758","701","Jun 4, 2023","Jun 4, 2023","213.65 KB","1.19.2","Forge","Mods, Ores and Resources, Armor, Tools, and Weapons, MCreator, Miscellaneous"
"Eidolon : Repraised","Alexth99","/minecraft/mc-mods/eidolon-repraised/download/5058501","1.2M","Jun 4, 2023","Jan 25, 2024","3.54 MB","1.19.2","Forge","Mods, Adventure and RPG, Magic, Armor, Tools, and Weapons"
"One Piece Origins","timothayy_","/minecraft/mc-mods/one-piece-origins/download/4891405","26.8K","Jun 4, 2023","Nov 22, 2023","106.64 KB","1.20.1","Forge","Mods, Adventure and RPG, Addons, Magic"
"Tick Stasis","arm32x","/minecraft/mc-mods/tick-stasis/download/4567642","450","Jun 4, 2023","Jun 4, 2023","10.02 KB","1.20.1","Fabric","Mods, Server Utility"
"wojtix expanison","wojtixmax","/minecraft/mc-mods/real-fantasy/download/5065477","78","Jun 4, 2023","Jan 28, 2024","674.18 KB","1.19.2","Forge","Mods, Dimensions, Ores and Resources, Food, MCreator, Armor, Tools, and Weapons"
"Immersive Positional Resources","DreamingCodes","/minecraft/mc-mods/immersive-positional-resources/download/4567611","326","Jun 4, 2023","Jun 4, 2023","11.99 KB","1.19.2","Forge","Mods, KubeJS, Addons, Utility & QoL, Ores and Resources, CraftTweaker"
"Pulverizing Hammers","Mineden","/minecraft/mc-mods/pulverizing-hammers/download/4821222","334","Jun 4, 2023","Oct 28, 2023","56.07 KB","1.20.1","Forge","Mods, MCreator, Armor, Tools, and Weapons"
"World-Class Trustworthy Floppas","bruberu","/minecraft/mc-mods/world-class-trustworthy-floppas/download/4723473","16.3K","Jun 4, 2023","Aug 26, 2023","310.20 KB","1.12.2","Forge","Mods, Mobs"
"Trenzalore","UnRealDinnerbone","/minecraft/mc-mods/trenzalore/download/4998183","465.8K","Jun 4, 2023","Jan 1, 2024","46.41 KB","1.20.4","Fabric","Mods, Utility & QoL"
"ChestESP","alexander9892","/minecraft/mc-mods/chestesp/download/4816505","8.7K","Jun 4, 2023","Oct 25, 2023","47.36 KB","1.20.3-Snapshot","Fabric","Mods, Utility & QoL, Map and Information"
"Quanta's Peaceful Mob Drops","Quanta_Entertainment","/minecraft/mc-mods/quantas-peaceful-mob-drops/download/4611849","241","Jun 4, 2023","Jun 27, 2023","14.23 KB","1.19.2","Forge","Mods, Miscellaneous"
"Omniwand","invadermonky","/minecraft/mc-mods/omniwand/download/4805869","9.6K","Oct 16, 2023","Oct 19, 2023","45.05 KB","1.12.2","Forge","Mods, Utility & QoL, Armor, Tools, and Weapons"
"Trial Chambers 1.21 Decorations","RedsTozity","/minecraft/mc-mods/trial-chambers-decorations/download/5012044","7.2K","Oct 16, 2023","Jan 6, 2024","927.10 KB","1.20.1","Forge","Mods, Education, MCreator, Ores and Resources, Miscellaneous"
"NovaCore","NovaMachina","/minecraft/mc-mods/novacore/download/4815411","18.7K","Oct 16, 2023","Oct 25, 2023","66.87 KB","1.20.1","NeoForge","Mods, API and Library"
"Feur Colors - Variant of Vanilla colored blocks [Forge]","vayns__","/minecraft/mc-mods/feur-colors/download/4801865","221","Oct 16, 2023","Oct 16, 2023","771.22 KB","1.18.2","Forge","Mods, Map and Information, Ores and Resources"
"Mythic Charms","masik16u","/minecraft/mc-mods/mythic-charms/download/5095073","183.0K","Oct 16, 2023","Feb 10, 2024","507.41 KB","1.20.1","Fabric","Mods, Magic, Armor, Tools, and Weapons"
"Copper Clash Update 1.21 [FORGE]","swutm","/minecraft/mc-mods/copper-clash/download/4808248","4.5K","Oct 16, 2023","Oct 21, 2023","50.31 KB","1.20.1","Forge","Mods, Mobs, World Gen, Cosmetic, Adventure and RPG"
"Hunger Serum","TheRealFlarf","/minecraft/mc-mods/hunger-serum/download/4800854","52","Oct 15, 2023","Oct 16, 2023","14.12 KB","1.20.1","Forge","Mods, Utility & QoL, Food, Farming"
"Bricksland Pride flags","Leva","/minecraft/mc-mods/pride-flags-for-mc-1-7-10/download/4800779","547","Oct 15, 2023","Oct 16, 2023","147.00 KB","1.7.10","Forge","Mods, Cosmetic"
"All The Crafting Items","Aidenboss434_OFFICIAL","/minecraft/mc-mods/all-the-crafting-items/download/4800729","46","Oct 15, 2023","Oct 15, 2023","12.91 KB","1.20.1","Forge","Mods, Utility & QoL, MCreator"
"All The Utilities","Aidenboss434_OFFICIAL","/minecraft/mc-mods/all-the-utilities/download/4801641","214","Oct 15, 2023","Oct 16, 2023","61.30 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons, Utility & QoL"
"Breeze Mob","MinoBanana","/minecraft/mc-mods/breeze-mob-concept-mod/download/4803157","3.4K","Oct 15, 2023","Oct 17, 2023","289.49 KB","1.20.1","Forge","Mods, Adventure and RPG, Mobs"
"AdminItems","not_whatisupstudio","/minecraft/mc-mods/adminitems/download/4800684","154","Oct 15, 2023","Oct 15, 2023","57.44 KB","1.20.1","Forge","Mods, Addons, Miscellaneous"
"Hoes Are Scythes","Tazke","/minecraft/mc-mods/hoes-are-scythes/download/4808919","892","Oct 15, 2023","Oct 21, 2023","77.84 KB","1.20.2","Fabric","Mods, Farming, Utility & QoL"
"Pickable Pets [Fabric / Forge]","ShiftTheDev","/minecraft/mc-mods/pickable-pets/download/5002626","13.9K","Oct 15, 2023","Jan 2, 2024","342.69 KB","1.20.2","Fabric","Mods, Utility & QoL"
"Colorfool","TheRaelSeb","/minecraft/mc-mods/colorfool/download/4800576","35","Oct 15, 2023","Oct 15, 2023","359.53 KB","1.18.2","Forge","Mods, Cosmetic, Utility & QoL, MCreator"
"Cool Weapons (Fabric)","TheModMakingIdiot","/minecraft/mc-mods/cool-weapons/download/4800573","267","Oct 15, 2023","Oct 15, 2023","77.45 KB","1.20.1","Fabric","Mods, MCreator, Armor, Tools, and Weapons"
"Big guns Big","Zajcu","/minecraft/mc-mods/big-guns-big/download/4843338","176","Oct 15, 2023","Nov 5, 2023","1.45 MB","1.16.5","Forge","Mods, MCreator, Armor, Tools, and Weapons, Technology"
"Fultony's Logic","Fultony","/minecraft/mc-mods/fultonys-logic/download/4801356","44","Oct 15, 2023","Oct 16, 2023","344.91 KB","1.20.1","Forge","Mods, MCreator"
"SGCraft-2.0.6","Dartis_XUI","/minecraft/mc-mods/sgcraft-2-0-6/download/4800335","183","Oct 15, 2023","Oct 15, 2023","7.57 MB","1.12.2","Forge","Mods, Technology, Player Transport, Structures"
"EtherAlt-Utils","Dartis_XUI","/minecraft/mc-mods/etheralt-utils/download/4800334","105","Oct 15, 2023","Oct 15, 2023","32.94 KB","1.12.2","Forge","Mods, Utility & QoL, Utility & QoL"
"Potion Vapes","khajiitos","/minecraft/mc-mods/potion-vapes/download/4975939","2.0K","Oct 15, 2023","Dec 22, 2023","416.09 KB","1.20.1","Fabric","Mods, Technology, Cosmetic, Adventure and RPG, Armor, Tools, and Weapons"
"Squid No Glitch","SteveKunG","/minecraft/mc-mods/squid-no-glitch/download/4843495","21.2K","Oct 15, 2023","Nov 5, 2023","85.41 KB","1.20.2","Quilt Fabric + 1","Mods, Mobs, Utility & QoL"
"NewRoseOre","sasha228","/minecraft/mc-mods/newroseore/download/4815987","81","Oct 15, 2023","Oct 25, 2023","13.92 MB","1.20.1","Forge","Mods, Armor, Tools, and Weapons, Ores and Resources"
"Balanced Combat","tobywig","/minecraft/mc-mods/balanced-combat/download/4800227","37","Oct 15, 2023","Oct 15, 2023","13.07 KB","1.19.2","Forge","Mods, Utility & QoL, Armor, Tools, and Weapons"
"PrisonGame","gardon07","/minecraft/mc-mods/prisongame/download/4800228","88","Oct 15, 2023","Oct 15, 2023","3.09 MB","1.20.1","Forge","Mods, Storage, Ores and Resources, Utility & QoL, MCreator, Server Utility"
"The Legend of Guir","paladin_dota","/minecraft/mc-mods/the-legend-of-guir/download/4800224","25","Oct 15, 2023","Oct 15, 2023","2.02 MB","1.16.5","Forge","Mods, Adventure and RPG, Food, Biomes"
"Ruins of the Living","Zesshou","/minecraft/mc-mods/ruins-of-the-living/download/4806648","128","Oct 15, 2023","Oct 19, 2023","222.07 KB","1.19.2","Forge","Mods, Mobs, Armor, Tools, and Weapons"
"Light Blocks and more","Remi_1888","/minecraft/mc-mods/light-blocks-and-more/download/5020686","382","Oct 15, 2023","Jan 9, 2024","277.59 KB","1.12.2","Forge","Mods, MCreator, Miscellaneous"
"FlyHack","_eXe99","/minecraft/mc-mods/flyhack/download/5030382","4.5K","Oct 15, 2023","Jan 13, 2024","10.46 KB","1.20.4","Forge","Mods, Magic, Player Transport"
"Benitoite ore","molodoy_batya_official","/minecraft/mc-mods/benitoite-ore/download/4799845","23","Oct 15, 2023","Oct 15, 2023","18.22 KB","1.19.4","Forge","Mods, MCreator, Ores and Resources"
"Better Wake-up Position","imoonday1008","/minecraft/mc-mods/better-wake-up-position/download/4800450","367","Oct 15, 2023","Oct 15, 2023","74.27 KB","1.20.2","Forge","Mods, Utility & QoL"
"Structure Summoning","lemonidasss_","/minecraft/mc-mods/structure-summoning/download/4799729","235","Oct 15, 2023","Oct 15, 2023","82.99 KB","1.20.1","Forge","Mods, MCreator, World Gen, Structures"
"crafted-core","ToCraft","/minecraft/mc-mods/crafted-core/download/5068022","13.2K","Oct 15, 2023","Jan 29, 2024","31.16 KB","1.19.4","Forge","Mods, API and Library"
"CraftLand","redspace12","/minecraft/mc-mods/craft-land/download/4799635","43","Oct 15, 2023","Oct 15, 2023","129.26 KB","1.20.1","Forge","Mods, Food"
"The Open Sauce Toast Killer","AnOpenSauceDev","/minecraft/mc-mods/the-open-sauce-toast-killer/download/4836957","571","Oct 15, 2023","Nov 3, 2023","7.85 KB","1.20.2","Quilt Fabric + 1","Mods, Utility & QoL, Magic"
"Fôret Magique","misetas","/minecraft/mc-mods/foret-magique/download/4799546","38","Oct 15, 2023","Oct 15, 2023","12.27 KB","1.20.1","Forge","Mods, Automation, Miscellaneous"
"Block Variety Expansion [Fabric]","XanthianZ","/minecraft/mc-mods/block-variety-expansion/download/4885118","300","Oct 15, 2023","Nov 20, 2023","1.68 MB","1.20.2","Quilt Fabric + 1","Mods, Cosmetic, Utility & QoL, Adventure and RPG"
"Statues of Players Strength [Forge]","Netherito","/minecraft/mc-mods/statues-of-players-strength/download/4801285","416","Oct 15, 2023","Oct 16, 2023","942.24 KB","1.20.1","Forge","Mods, Adventure and RPG, Technology"
"BlockTuner-forge","A_Peng215","/minecraft/mc-mods/blocktuner-forge/download/4948017","130","Oct 15, 2023","Dec 11, 2023","54.72 KB","1.20.2","Forge","Mods, Redstone, Server Utility, Utility & QoL"
"ChengXinAlloy","littlejianamrist","/minecraft/mc-mods/chengxinalloy/download/4799457","23","Oct 15, 2023","Oct 15, 2023","70.91 KB","1.12.2","Forge","Mods, Miscellaneous"
"Extra Magic (Addon to Extra Metal)","weebxeing0","/minecraft/mc-mods/extra-magic-addon-to-extra-metal/download/4799440","31","Oct 15, 2023","Oct 15, 2023","510.07 KB","1.18.2","Forge","Mods, Cosmetic, Magic, Armor, Tools, and Weapons"
"AutoChangeFight","pOtAto__bOy","/minecraft/mc-mods/autochangefight/download/4801196","1.7K","Oct 15, 2023","Oct 16, 2023","3.35 KB","1.20.1","Forge","Mods, Utility & QoL"
"toNeko","CrystalNeko","/minecraft/mc-mods/toneko/download/4971284","400","Oct 15, 2023","Dec 20, 2023","120.06 KB","1.20.4","Quilt Fabric + 1","Mods, Addons, Server Utility"
"FeatureController","Hiiragi283","/minecraft/mc-mods/featurecontroller/download/4799358","45","Oct 15, 2023","Oct 15, 2023","35.18 KB","1.12.2","Forge","Mods, World Gen, Miscellaneous"
"Negative Mass","Link15","/minecraft/mc-mods/negative-mass/download/4799276","25","Oct 15, 2023","Oct 15, 2023","15.86 KB","1.19.4","Forge","Mods, Player Transport, MCreator, Education"
"Create: Garnished","DakotaPrideModding","/minecraft/mc-mods/garnished/download/5081624","62.4K","Oct 15, 2023","Feb 5, 2024","1.36 MB","1.20.1","NeoForge Forge + 1","Mods, Food, Automation, Addons, Create"
"Tre's Tack Shop - A SWEM Add on","kyraltre","/minecraft/mc-mods/tres-tack-shop/download/5100917","35.4K","Oct 15, 2023","Feb 12, 2024","10.66 MB","1.20.1","Forge","Mods, Mobs, Cosmetic"
"OWorld2Create","MikhailTapio","/minecraft/mc-mods/oworld2create/download/4799214","23.0K","Oct 15, 2023","Oct 15, 2023","5.75 KB","1.20.2","Fabric Quilt NeoForge Forge + 3","Mods, Utility & QoL"
"Just a Pyromaniac","just10","/minecraft/mc-mods/just-a-pyromaniac/download/4799197","32","Oct 15, 2023","Oct 15, 2023","30.37 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons"
"Where Are My TMs [Fabric]","corgi_in_tights","/minecraft/mc-mods/where-are-my-tms/download/4997907","6.9K","Oct 15, 2023","Jan 1, 2024","135.43 KB","1.20.1","Fabric","Mods, Armor, Tools, and Weapons, Technology"
"Explosive Pitcher Pods","Hipposgrumm","/minecraft/mc-mods/explosive-pitcher-pods/download/4722126","153","Aug 25, 2023","Aug 25, 2023","292.48 KB","1.20.1","NeoForge Forge + 1","Mods, Armor, Tools, and Weapons"
"Deepwoken Craft","Cendant","/minecraft/mc-mods/deepwoken-craft/download/5094321","4.5K","Aug 25, 2023","Feb 10, 2024","103.15 MB","1.20.1","Forge","Mods, Adventure and RPG"
"MasterSword","stalosir","/minecraft/mc-mods/mastersword/download/5047101","407","Aug 25, 2023","Jan 20, 2024","704.42 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons"
"EmoteTweaks Updated","Martmists","/minecraft/mc-mods/emotetweaks-updated/download/4722047","4.0K","Aug 25, 2023","Aug 25, 2023","36.03 KB","1.19.4","Fabric","Mods, Utility & QoL, Addons"
"F Server Pack","veski","/minecraft/mc-mods/f-server-pack/download/4721865","70","Aug 25, 2023","Aug 25, 2023","6.91 KB","1.20.1","Fabric","Mods, Utility & QoL"
"Your Items to New Worlds","TrueHooorse","/minecraft/mc-mods/your-items-to-new-worlds/download/4728158","538","Aug 25, 2023","Aug 29, 2023","124.32 KB","1.20.1","Fabric","Mods, Utility & QoL"
"void armor","GamingOPanda","/minecraft/mc-mods/void-armor/download/4721837","85","Aug 25, 2023","Aug 25, 2023","19.48 MB","1.19.4","Forge","Mods, Ores and Resources, Armor, Tools, and Weapons, MCreator, Adventure and RPG"
"Thicker Logs","Thagrahn","/minecraft/mc-mods/thicker-logs/download/4721834","56","Aug 25, 2023","Aug 25, 2023","142.81 KB","1.19.2","Forge","Mods, Cosmetic"
"CaseArmors","Caserooos","/minecraft/mc-mods/casearmors/download/4721771","44","Aug 25, 2023","Aug 25, 2023","485.18 KB","1.12.2","Forge","Mods, Biomes, Mobs, Food, Armor, Tools, and Weapons, Ores and Resources"
"Redstone engineering","Link_56","/minecraft/mc-mods/redstone-engineering/download/5071511","568","Aug 25, 2023","Jan 31, 2024","1.20 MB","1.20.1","Forge","Mods, Technology, MCreator, Redstone"
"Dimensional ItemGate","Mrbysco","/minecraft/mc-mods/dimensional-itemgate/download/5026834","2.4K","Aug 25, 2023","Jan 12, 2024","15.03 KB","1.20.1","NeoForge Forge + 1","Mods, API and Library, Utility & QoL"
"Voice Of Time: Portals","VitaVit","/minecraft/mc-mods/voice-of-time-portals/download/4721777","126","Aug 25, 2023","Aug 25, 2023","660.97 KB","1.16.5","Forge","Mods, Magic, Adventure and RPG, MCreator"
"GD CraftsEnhanced","GabrielDja","/minecraft/mc-mods/gd-craftsenhanced/download/4893420","470","Aug 25, 2023","Nov 23, 2023","82.93 KB","1.20.4","Fabric Forge + 1","Mods, CraftTweaker, Utility & QoL"
"Essential Improvements+","KekBUTdrained","/minecraft/mc-mods/generalimprovements/download/4733630","85","Aug 25, 2023","Sep 2, 2023","1.98 MB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, MCreator, Utility & QoL, Addons, Food"
"No More Fortnite!","kawaiicakes","/minecraft/mc-mods/no-more-fortnite/download/4721536","213","Aug 25, 2023","Oct 27, 2023","331.28 KB","1.19.2","Forge","Mods, Utility & QoL, Server Utility"
"Twilight Machinery","tjibbe1","/minecraft/mc-mods/twilight-machinery/download/5045871","1.7K","Aug 25, 2023","Jan 19, 2024","102.63 KB","1.19.2","Forge","Mods, Technology, MCreator, Dimensions, Adventure and RPG, Energy, Fluid, and Item Transport"
"TwitchLink","cosrnic","/minecraft/mc-mods/twitchlink/download/4721506","101","Aug 25, 2023","Aug 25, 2023","94.50 KB","1.20.1","Fabric","Mods, Twitch Integration"
"Shoot Glass","AzureDoomC","/minecraft/mc-mods/shoot-glass/download/4903796","4.9K","Aug 25, 2023","Nov 26, 2023","10.01 KB","1.20.1","NeoForge Forge + 1","Mods, Utility & QoL"
"Create: Diesel Generators [Fabric]","MrSterner_","/minecraft/mc-mods/create-diesel-generators-fabric/download/4765501","71.7K","Aug 25, 2023","Sep 23, 2023","716.84 KB","1.20.1","Quilt Fabric + 1","Mods, Create, Technology"
"Land Developer","Ferdinand","/minecraft/mc-mods/land-developer/download/4999061","281","Aug 25, 2023","Jan 1, 2024","268.77 KB","1.12.2","Forge","Mods, Server Utility, Map and Information, Utility & QoL, API and Library"
"Bad NPCs","vicalisito","/minecraft/mc-mods/bad-npcs/download/4978788","5.1K","Aug 25, 2023","Dec 23, 2023","1.13 MB","1.20.4","Forge","Mods, Armor, Tools, and Weapons, Magic, Mobs, Structures"
"Hammers of Thor","zy26","/minecraft/mc-mods/hammers-of-thor/download/4721223","76","Aug 25, 2023","Aug 25, 2023","440.21 KB","1.19.4","Forge","Mods, Adventure and RPG, Dimensions, Mobs, Structures, Ores and Resources"
"Worldgen Revisited - Now with noise caves!","WunderFunct","/minecraft/mc-mods/worldgen-revisited/download/4944025","9.3K","Aug 25, 2023","Dec 9, 2023","510.62 KB","1.20.1","NeoForge Forge + 1","Mods, Utility & QoL, World Gen, Server Utility"
"Epic Stats","BladeMasterX","/minecraft/mc-mods/epic-stats/download/4809398","91.0K","Aug 25, 2023","Oct 21, 2023","1.67 MB","1.19.2","Forge","Mods, Addons, Adventure and RPG, API and Library, Magic"
"Burning Potion","captaintyler","/minecraft/mc-mods/burning-potion/download/4721086","572","Aug 25, 2023","Aug 25, 2023","49.34 KB","1.16.5","Forge","Mods, MCreator"
"Cards of the Arcane","AlchemicalFool","/minecraft/mc-mods/cards-of-the-arcane/download/4721062","50","Aug 25, 2023","Aug 25, 2023","1.60 MB","1.19.2","Forge","Mods, Armor, Tools, and Weapons, Magic, Utility & QoL"
"More Block Styles","ZanderNotch","/minecraft/mc-mods/more-block-styles/download/4955212","538","Aug 25, 2023","Dec 13, 2023","3.33 MB","1.20.1","Forge","Mods, Cosmetic, MCreator"
"DNZ's Skibidi Toilet","turkoyuncudnz1","/minecraft/mc-mods/dnz-skibidi-toilet/download/5081111","28.3K","Aug 25, 2023","Feb 4, 2024","5.45 MB","1.20.1","Forge","Mods, Adventure and RPG, MCreator, Utility & QoL, Mobs"
"vtubruh LOTR Mobs NEW","vtubruh_","/minecraft/mc-mods/vtubruh-lotr-mobs-new/download/4721000","548","Aug 25, 2023","Sep 2, 2023","4.97 MB","1.19.4","Forge","Mods, MCreator, Structures, Mobs, Adventure and RPG, Player Transport"
"Server Datapack Helper","srfennec","/minecraft/mc-mods/server-datapack-helper/download/5046379","84","Aug 25, 2023","Jan 20, 2024","113.80 KB","1.20.4","Fabric","Mods, Cosmetic, Utility & QoL, Server Utility"
"Pixelmon Economy Bridge","Hacko","/minecraft/mc-mods/pixelmon-economy-bridge/download/4817430","1.8K","Aug 25, 2023","Oct 26, 2023","14.96 KB","1.20.2","Forge","Mods, Server Utility, Utility & QoL, API and Library"
"Funky Fish","spacewalrus500","/minecraft/mc-mods/funky-fish/download/4720935","218","Aug 24, 2023","Aug 24, 2023","786.49 KB","1.19.2","Forge","Mods, Food, Biomes, Mobs, MCreator"
"Simple Zoom","waechter_von_atlantis","/minecraft/mc-mods/simple-zoom/download/4720836","3.1K","Aug 24, 2023","Aug 24, 2023","95.34 KB","1.20.1","Forge","Mods, Map and Information, Utility & QoL"
"Mega Randomizer","stevefal","/minecraft/mc-mods/mega-randomizer/download/5002050","2.6K","Aug 24, 2023","Jan 2, 2024","38.24 KB","1.20.1","Forge","Mods, Miscellaneous"
