"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"Nickname Detector","SmushyTaco","/minecraft/mc-mods/nickname-detector/download/4606815","34","Jun 24, 2023","Jun 24, 2023","3.05 MB","1.20.1","Fabric","Mods, Utility & QoL"
"Beehave","MUYU_Twilighter","/minecraft/mc-mods/beehave/download/4932887","1.1K","Jun 24, 2023","Dec 6, 2023","29.48 KB","1.20.4","Fabric","Mods, Server Utility, Map and Information"
"Progress Through Skies","DCtime","/minecraft/mc-mods/progress-through-skies/download/4734802","2.2K","Jun 24, 2023","Sep 3, 2023","305.80 KB","1.19.2","Forge","Mods, Utility & QoL"
"Inventory Full Notifier","sliderspy","/minecraft/mc-mods/inventory-full-notifier/download/4637486","1.3K","Jun 24, 2023","Jul 11, 2023","15.03 KB","1.20.1","Fabric","Mods, Utility & QoL, Miscellaneous"
"sandwich mob","ihbu299","/minecraft/mc-mods/sandwich-mob/download/4606758","46","Jun 24, 2023","Jun 24, 2023","101.25 KB","1.19.4","Forge","Mods, Mobs, Food"
"Early Loading Screen","ishlandmc","/minecraft/mc-mods/early-loading-screen/download/4998395","1.5K","Jun 24, 2023","Jan 1, 2024","423.92 KB","1.19.2","Fabric","Mods, Miscellaneous"
"Rock Pelting!","BababooeyWerp","/minecraft/mc-mods/rock-pelting/download/4817067","115","Jun 24, 2023","Oct 26, 2023","97.26 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons, MCreator"
"The Gazer","doodlboi","/minecraft/mc-mods/the-gazer/download/4606604","106","Jun 24, 2023","Jun 24, 2023","53.39 KB","1.19.2","Forge","Mods, Mobs, Armor, Tools, and Weapons, World Gen"
"Elite Armageddon Reborn","shadowmaster404","/minecraft/mc-mods/elite-armageddon-reborn/download/4756697","100","Jun 24, 2023","Sep 17, 2023","608.31 KB","1.20.1","Fabric","Mods, Adventure and RPG"
"💥Just Enough Bombs💥","ImposiPickle","/minecraft/mc-mods/justenoughbombs/download/4642730","450","Jun 24, 2023","Jul 14, 2023","118.11 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, Miscellaneous, Redstone, Addons"
